"species","decimalLatitude","decimalLongitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_19","wc2.1_2.5m_elev"
"Diaphorina citri",22.993889,87.841389,26.3729991912842,10.7193326950073,36.8160018920898,20.7393321990967,1246,99.2841339111328,34,23
"Diaphorina citri",14.9502,44.2561,17.2016658782959,13.3699998855591,27.4759998321533,14.2653331756592,371,75.7333984375,28,2630
"Diaphorina citri",-13.1893,131.0226,27.1223335266113,12.7986669540405,36.3800010681152,24.3246669769287,1432,111.163414001465,2,98
"Diaphorina citri",12.1696,-68.99,27.6864585876465,6.06875038146973,32.2649993896484,26.8391666412354,546,63.3886489868164,91,37
"Diaphorina citri",23.1292,113.2644,22.238000869751,7.31799983978271,32.515998840332,16.2866668701172,1689,64.8298492431641,152,26
"Diaphorina citri",25.048,-77.3554,25.1543407440186,8.11979198455811,32.4541664123535,22.0166664123535,1279,54.9069900512695,142,9
"Diaphorina citri",15.2,-86.2419,22.257999420166,10.0240001678467,29.8920001983643,22.2986660003662,1335,58.5355262756348,158,965
"Diaphorina citri",-21.13317,55.53241,14.1999998092651,6.2006664276123,21.007999420166,11.826000213623,1643,52.315601348877,220,1763
"Diaphorina citri",-14.32664,-170.82886,26.125415802002,5.31083345413208,29.5149993896484,25.5299987792969,3418,30.7122058868408,581,161
"Diaphorina citri",-14.272988,-170.58499,26.5427093505859,5.35902738571167,29.9416656494141,25.9277782440186,3393,32.2602615356445,569,87
"Diaphorina citri",-14.28962,-170.68767,26.1239032745361,5.38728046417236,29.5368423461914,25.4894733428955,3488,30.0857105255127,560,156
"Diaphorina citri",-14.34895,-170.75926,26.7429695129395,5.53802108764648,30.21875,26.154167175293,3389,31.8185501098633,581,60
"Diaphorina citri",-28.507731,-59.044857,20.6688327789307,10.4596662521362,32.0200004577637,15.449333190918,1058,37.5288581848145,130,50
"Diaphorina citri",-30.985036,-57.919842,19.2409992218018,11.3746671676636,32.1759986877441,13.438666343689,1362,27.9215335845947,207,43
"Diaphorina citri",-23.944207,-64.803149,21.1650009155273,12.2593326568604,32.0320014953613,15.4519996643066,702,92.979866027832,18,479
"Diaphorina citri",-23.43333,-64.16667,22.6173324584961,13.0033340454102,33.8160018920898,16.9106674194336,1033,87.4051208496094,24,308
"Diaphorina citri",13.155833,-59.460833,26.5393333435059,6.15199995040894,30.431999206543,25.826000213623,1602,43.6329956054688,215,108
"Diaphorina citri",13.14517,-59.617539,26.5049991607666,5.7993335723877,30.3640003204346,25.728666305542,1583,44.7626876831055,226,104
"Diaphorina citri",16.811663,-88.401604,25.6159992218018,8.74266624450684,32.015998840332,25.1346664428711,2213,51.5662078857422,379,62
"Diaphorina citri",5.030556,-74.885556,26.9543342590332,10.5819997787476,33.5719985961914,26.9353332519531,2228,43.8455429077148,745,282
"Diaphorina citri",4.354029,-74.863576,27.1876659393311,10.8259992599487,34.1520004272461,27.5653343200684,1870,47.0888404846191,649,372
"Diaphorina citri",4.19532,-75.00753,27.4778327941895,11.0750007629395,34.9080009460449,27.974666595459,1722,44.7896728515625,524,388
"Diaphorina citri",9.748917,-83.753428,17.7150001525879,9.60133361816406,23.6760005950928,17.9473342895508,3373,32.6755332946777,932,1611
"Diaphorina citri",32.454655,-116.916855,17.6726665496826,13.046667098999,29.9680004119873,22.0073337554932,282,92.3157958984375,150,189
"Diaphorina citri",29.072967,-110.955919,23.1208324432373,18.5736656188965,39.568000793457,21.6306667327881,294,109.861206054688,55,237
"Diaphorina citri",21.2073,-99.472267,21.8521671295166,14.0143337249756,33.7999992370605,18.9606666564941,723,80.5392456054688,49,936
"Diaphorina citri",19.429241,-102.084917,17.9270000457764,15.8366670608521,29.0839996337891,17.3693332672119,969,108.506332397461,35,1934
"Diaphorina citri",20.653407,-105.225332,25.754825592041,12.1614036560059,33.5368423461914,24.4649124145508,1053,120.382911682129,35,14
"Diaphorina citri",16.010481,-97.433525,26.5403327941895,11.167332649231,33.3839988708496,24.970666885376,1162,116.052474975586,16,65
"Diaphorina citri",25.790466,-108.985882,25.4659996032715,14.4200000762939,37.3680000305176,24.0566673278809,349,109.722381591797,44,14
"Diaphorina citri",27.482773,-109.930367,24.4953327178955,16.4486656188965,38.4519996643066,22.8813323974609,358,107.502479553223,53,39
"Diaphorina citri",17.830278,-93.391389,26.0865001678467,10.2623329162598,35.0319976806641,27.3793334960938,2285,57.0021781921387,391,35
"Diaphorina citri",22,-98.783333,25.4323329925537,12.5813331604004,36.1839981079102,21.4039993286133,1054,82.4357681274414,76,28
"Diaphorina citri",18.908889,-103.874722,27.1001663208008,14.0930004119873,34.9799995422363,25.1726665496826,829,106.418762207031,31,30
"Diaphorina citri",21.518738,-104.892222,22.0816669464111,16.5299987792969,33.2879981994629,21.6333332061768,1329,125.133781433105,72,958
"Diaphorina citri",18.502535,-88.518226,25.6965007781982,11.1609992980957,33,25.1593341827393,1135,61.8196029663086,144,27
"Diaphorina citri",20.72323,-97.31353,24.1991672515869,9.3043327331543,32.6640014648438,20.6726665496826,1230,61.690788269043,152,16
"Diaphorina citri",20.061513,-97.054526,24.1733341217041,9.77533340454102,32.5800018310547,20.6893329620361,1775,50.8319969177246,283,87
"Diaphorina citri",-26.792362,-55.668964,21.2786674499512,11.8873329162598,31.8040008544922,16.6006660461426,1601,18.1358127593994,310,241
"Diaphorina citri",18.473889,-67.048056,25.0533332824707,12.5599994659424,32.6360015869141,23.4806671142578,1702,34.300952911377,238,105
"Diaphorina citri",18.454893,-66.758134,25.0195007324219,12.6403331756592,32.7120018005371,23.3540000915527,1673,27.5895290374756,257,106
"Diaphorina citri",18.436944,-65.981944,26.3516292572021,9.17789840698242,32.2086944580078,24.7202892303467,1466,30.6710052490234,204,3
"Diaphorina citri",37.169463,-104.500541,10.2636661529541,16.0913333892822,29.6679992675781,0.833333253860474,385,59.3084869384766,33,1905
"Diaphorina citri",-31.401111,-57.973889,18.8913326263428,11.8333339691162,32.2760009765625,12.9553337097168,1332,26.7992382049561,204,25
"Diaphorina citri",32.692651,-114.627692,23.5088329315186,15.4809999465942,41.8040008544922,26.3360004425049,86,55.706844329834,30,44
"Diaphorina citri",32.490834,-114.76772,23.0736675262451,16.521333694458,41.523998260498,26.0799999237061,81,50.1629180908203,28,40
"Diaphorina citri",30.061528,-90.696012,19.9241676330566,11.3050003051758,32.8800010681152,16.2786674499512,1616,14.873215675354,424,6
"Diaphorina citri",32.376735,-80.69475,18.8580875396729,11.0661754608154,32.6411743164062,15.3745098114014,1266,34.6424407958984,261,10
"Diaphorina citri",19.718755,-155.089629,22.6547107696533,8.20869541168213,28.2304344177246,23.6920280456543,2497,32.5538864135742,739,126
"Diaphorina citri",27.800583,-97.396381,22.2708339691162,9.26858997344971,33.7615394592285,15.8589744567871,818,46.0750465393066,135,8
"Diaphorina citri",29.760427,-95.369803,20.9776668548584,11.0473337173462,34.1520004272461,17.2213325500488,1230,21.8486480712891,261,18
"Diaphorina citri",29.209684,-99.786168,20.6105003356934,14.143666267395,35.8559989929199,13.4653329849243,609,40.5514678955078,87,284
"Diaphorina citri",28.461508,-98.549378,21.6296672821045,13.7593336105347,36.7000007629395,14.6146669387817,608,42.3024787902832,95,82
"Diaphorina citri",29.457978,-98.460466,20.7108325958252,12.1669998168945,34.9640007019043,13.7326669692993,790,35.5675849914551,132,214
"Diaphorina citri",7.405528,3.849611,26.8290004730225,9.2413330078125,34.507999420166,27.6093330383301,1293,65.6497192382812,470,182
"Diaphorina citri",7.813972,3.912056,26.40016746521,10.0263328552246,34.7760009765625,27.1226673126221,1195,65.8570709228516,427,291
"Diaphorina citri",7.868167,3.218806,26.5890007019043,10.1233339309692,35.3320007324219,27.5520000457764,1146,66.5878677368164,448,212
"Diaphorina citri",7.546555556,3.445361111,26.7824993133545,9.61100006103516,35.0639991760254,27.7573337554932,1190,63.8819274902344,419,182
"Diaphorina citri",21.137778,-157.094722,24.0903339385986,8.56733322143555,30.7600002288818,25.8233337402344,1069,35.8443260192871,346,115
"Diaphorina citri",20.852222,-156.506944,21.6681671142578,7.31766653060913,27.3239994049072,22.2759990692139,2039,40.0252380371094,673,378
"Diaphorina citri",29.586667,-89.833611,20.5475006103516,9.01633358001709,32.2519989013672,17.4906673431396,1581,18.9051837921143,401,2
"Diaphorina citri",30.063889,-92.216389,20.0310001373291,10.7306661605835,32.8759994506836,16.242000579834,1545,17.8224754333496,374,8
"Diaphorina citri",29.753611,-90.03,20.2975006103516,9.7810001373291,32.4400024414062,16.9693336486816,1596,18.0960540771484,403,4
"Diaphorina citri",30.7525,-88.781667,18.9804992675781,12.2510004043579,32.9440002441406,19.6306667327881,1645,17.4559688568115,426,23
"Diaphorina citri",34.257778,-88.703333,16.5104999542236,12.8570003509521,33.1679992675781,22.0853328704834,1433,21.2417507171631,403,88
"Diaphorina citri",34.513611,-88.638333,15.9581670761108,12.7690000534058,32.7280006408691,21.5906677246094,1458,21.3823165893555,402,116
"Diaphorina citri",33.851111,-81.036667,17.36549949646,13.1643333435059,33.507999420166,12.9493341445923,1170,21.2273025512695,290,64
"Diaphorina citri",33.913889,-79.846667,17.2959995269775,13.5446662902832,33.1359977722168,13.0559997558594,1203,23.4484004974365,285,31
